report_file,constraint_name,marker_location,drc_subclass,required_value,actual_value,constraint_source,constraint_source_type,element_1,element_2
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Duplicate Drill Hole,(150.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (150.000 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Duplicate Drill Hole,(186.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Duplicate Drill Hole,(222.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Duplicate Drill Hole,(366.000 240.000),ALL,FALSE,TRUE,NONE,DESIGN,"Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (366.000 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Pad/Pad Direct Connect,(294.000 240.000),BOTTOM,NOT_ALLOWED,VIAS_VIAS_ONLY,DEFAULT,PHYSICAL CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (294.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (294.300 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Pad/Pad Direct Connect,(294.000 240.000),GND,NOT_ALLOWED,VIAS_VIAS_ONLY,DEFAULT,PHYSICAL CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (294.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (294.300 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Pad/Pad Direct Connect,(294.000 240.000),INNER1,NOT_ALLOWED,VIAS_VIAS_ONLY,DEFAULT,PHYSICAL CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (294.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (294.300 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Pad/Pad Direct Connect,(294.000 240.000),INNER2,NOT_ALLOWED,VIAS_VIAS_ONLY,DEFAULT,PHYSICAL CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (294.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (294.300 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Pad/Pad Direct Connect,(294.000 240.000),POWER,NOT_ALLOWED,VIAS_VIAS_ONLY,DEFAULT,PHYSICAL CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (294.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (294.300 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Pad/Pad Direct Connect,(294.000 240.000),TOP,NOT_ALLOWED,VIAS_VIAS_ONLY,DEFAULT,PHYSICAL CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (294.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (294.300 240.000) (Dhii_A)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(186.275 240.000),BOTTOM,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(186.275 240.000),GND,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(186.275 240.000),INNER1,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(186.275 240.000),INNER2,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(186.275 240.000),POWER,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(186.275 240.000),TOP,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad055  (186.000 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(222.000 240.000),BOTTOM,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(222.000 240.000),GND,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(222.000 240.000),INNER1,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(222.000 240.000),INNER2,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(222.000 240.000),POWER,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(222.000 240.000),TOP,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)""","Via ""Dhii_Slot_025X075  (222.000 240.000) (Not On A Net)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(258.150 240.424),BOTTOM,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (258.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (258.300 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(258.150 240.424),GND,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (258.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (258.300 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(258.150 240.424),INNER1,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (258.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (258.300 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(258.150 240.424),INNER2,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (258.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (258.300 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(258.150 240.424),POWER,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (258.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (258.300 240.000) (Dhii_B)"""
reports\dh_item_item_interaction.plus_item_item_25_1.drc.rpt,Thru Via to Thru Via Spacing,(258.150 240.424),TOP,0.2 MM,OVERLAP,DEFAULT,NET SPACING CONSTRAINTS,"Via ""Dhii_Rnd_025_Pad090  (258.000 240.000) (Dhii_A)""","Via ""Dhii_Rnd_025_Pad090  (258.300 240.000) (Dhii_B)"""
